Areaname,FIPS,Total_Area_sq_mi_LND010190D,LND010200D,LND110180D,LND110190D,Land_Area_sq_mi_LND110200D,LND110210D,Water_Area_sq_miLND210190D,LND210200D
"Cumberland, TN",47035,684.97,684.95,682.32,681.63,681.61,681.03,3.34,3.34
"Davidson, TN",47037,526.16,526.11,500.85,502.26,502.26,504.03,23.9,23.85
"Decatur, TN",47039,344.93,344.91,329.96,333.91,333.9,333.85,11.02,11.01
"DeKalb, TN",47041,329,328.98,290.55,304.59,304.57,304.35,24.41,24.41
"Dickson, TN",47043,491.34,491.28,490.57,489.92,489.87,489.9,1.42,1.42
"Dyer, TN",47045,526.52,526.48,519.68,510.59,510.5,512.33,15.93,15.98
"Fayette, TN",47047,706.27,706.23,705.46,704.54,704.5,704.79,1.73,1.73
"Fentress, TN",47049,499,498.97,498,498.66,498.64,498.61,0.34,0.33
"Franklin, TN",47051,574.37,575.77,542.9,553.13,554.52,554.54,21.24,21.25
"Gibson, TN",47053,603.64,603.59,602.47,602.72,602.67,602.74,0.92,0.92
"Giles, TN",47055,611.22,611.17,610.45,610.97,610.93,610.93,0.25,0.25
"Grainger, TN",47057,302.46,302.44,273.03,280.36,280.33,280.6,22.1,22.11
"Greene, TN",47059,624.27,624.11,618.51,621.85,621.69,622.17,2.42,2.42
"Grundy, TN",47061,361.17,361.14,361.21,360.59,360.56,360.53,0.58,0.58
"Hamblen, TN",47063,175.78,175.77,156.44,161.04,161.03,161.18,14.74,14.74
"Hamilton, TN",47065,575.76,575.72,539.03,542.49,542.44,542.43,33.27,33.28
"Hancock, TN",47067,223.51,223.5,223.42,222.3,222.29,222.34,1.21,1.21
"Hardeman, TN",47069,670.44,670.39,670.34,667.58,667.55,667.77,2.86,2.84
"Hardin, TN",47071,596.36,596.31,578.3,577.91,577.86,577.32,18.45,18.45
"Hawkins, TN",47073,499.66,499.63,485.51,486.68,486.66,486.98,12.98,12.97
"Haywood, TN",47075,534.19,534.15,533.76,533.24,533.2,533.11,0.95,0.95
"Henderson, TN",47077,525.95,525.91,519.99,520.06,520.02,520.07,5.89,5.89
"Henry, TN",47079,593.49,593.45,559.78,561.75,561.68,562.1,31.74,31.77
"Hickman, TN",47081,612.75,612.7,609.59,612.7,612.52,612.5,0.05,0.18
"Houston, TN",47083,206.94,206.92,200.15,200.23,200.21,200.29,6.71,6.71
"Humphreys, TN",47085,556.75,556.72,527.54,532.25,532.22,530.98,24.5,24.5
"Jackson, TN",47087,319.57,319.56,307.86,308.9,308.88,308.32,10.67,10.67
"Jefferson, TN",47089,314.34,314.33,265.44,273.83,273.81,274.08,40.51,40.51
"Johnson, TN",47091,302.76,302.73,297.11,298.5,298.47,298.48,4.26,4.26
"Knox, TN",47093,525.81,525.78,505.9,508.49,508.46,508.22,17.32,17.32
"Lake, TN",47095,193.81,193.79,168.51,163.43,163.42,165.78,30.38,30.38
"Lauderdale, TN",47097,507.17,507.14,474.49,470.48,470.45,471.99,36.69,36.69
"Lawrence, TN",47099,617.96,617.91,617.27,617.22,617.17,617.13,0.74,0.74
"Lewis, TN",47101,282.5,282.48,282.29,282.12,282.09,282.09,0.38,0.38
"Lincoln, TN",47103,570.68,570.63,570.78,570.29,570.23,570.34,0.39,0.39
"Loudon, TN",47105,247.04,247.31,235.09,228.61,228.88,229.22,18.43,18.43
"McMinn, TN",47107,432.24,432.22,428.95,430.3,430.28,430.13,1.94,1.94
"McNairy, TN",47109,560.87,560.84,561.59,560.08,560.04,562.86,0.79,0.79
"Macon, TN",47111,307.2,307.19,307.17,307.14,307.13,307.14,0.06,0.06
"Madison, TN",47113,558.68,558.63,558.19,557.12,557,557.12,1.56,1.63
"Marion, TN",47115,513.8,512.32,512.43,499.84,498.36,498.16,13.96,13.96
"Marshall, TN",47117,376.13,376.1,376.49,375.38,375.36,375.46,0.75,0.75
"Maury, TN",47119,615.57,615.52,616.31,612.92,612.86,613.14,2.65,2.66
"Meigs, TN",47121,216.79,216.78,189.24,194.87,194.86,195.12,21.92,21.92
"Monroe, TN",47123,652.88,652.58,648.22,635.24,634.91,635.57,17.64,17.67
"Montgomery, TN",47125,543.87,543.84,538.66,539.16,539.28,539.18,4.71,4.57
"Moore, TN",47127,130.38,130.38,128.69,129.17,129.18,129.22,1.21,1.21
"Morgan, TN",47129,522.41,522.4,522.59,522.07,522.04,522.18,0.34,0.35
"Obion, TN",47131,555.38,555.35,550.31,544.95,544.91,544.73,10.43,10.43
"Overton, TN",47133,434.83,434.82,433.06,433.36,433.38,433.48,1.47,1.43
"Perry, TN",47135,422.93,422.9,411.78,414.93,414.89,414.73,8,8
"Pickett, TN",47137,174.58,174.58,159.38,162.92,162.92,162.98,11.66,11.66
"Polk, TN",47139,442.39,442.35,437.5,435.11,435.05,434.68,7.28,7.3
"Putnam, TN",47141,402.44,402.56,399.17,400.97,401.05,401.1,1.47,1.5
"Rhea, TN",47143,336.4,336.39,308.97,315.95,315.94,315.38,20.45,20.45
"Roane, TN",47145,394.99,394.98,356.72,360.99,360.98,360.71,34,34
"Robertson, TN",47147,476.72,476.67,475.88,476.52,476.47,476.29,0.2,0.2
"Rutherford, TN",47149,624,623.94,605.52,618.97,618.91,619.36,5.03,5.03
"Scott, TN",47151,533.25,533.22,528.06,532.12,532.09,532.3,1.13,1.13
"Sequatchie, TN",47153,266.04,266.02,265.51,265.86,265.85,265.86,0.18,0.18
"Sevier, TN",47155,597.77,597.73,590.27,592.33,592.29,592.5,5.44,5.45
"Shelby, TN",47157,783.69,783.63,771.61,754.87,754.53,763.17,28.82,29.1
"Smith, TN",47159,325.38,325.35,312.78,314.44,314.41,314.29,10.94,10.94
"Stewart, TN",47161,493.22,493.2,454.32,457.7,458.48,459.33,35.52,34.72
"Sullivan, TN",47163,429.71,429.69,415.25,413.05,413.02,413.36,16.66,16.67
"Sumner, TN",47165,543.16,543.12,529.05,529.35,529.3,529.45,13.81,13.81
"Tipton, TN",47167,474.76,474.72,454.15,459.4,459.37,458.37,15.36,15.35
"Trousdale, TN",47169,116.65,116.64,114.29,114.25,114.24,114.19,2.4,2.4
"Unicoi, TN",47171,186.49,186.49,186.44,186.14,186.14,186.17,0.35,0.35
"Union, TN",47173,247.14,247.13,218.25,223.57,223.56,223.55,23.57,23.57
"Van Buren, TN",47175,274.61,274.59,272.52,273.47,273.46,273.42,1.14,1.14
"Warren, TN",47177,434.12,434.08,430.58,432.71,432.69,432.68,1.41,1.4
"Washington, TN",47179,329.71,329.8,326.27,326.22,326.31,326.47,3.49,3.49
"Wayne, TN",47181,735.65,735.59,733.64,734.02,733.96,734.1,1.63,1.63
"Weakley, TN",47183,581.85,581.81,581.43,580.28,580.19,580.36,1.57,1.62
"White, TN",47185,379.55,379.39,373,376.75,376.58,376.67,2.8,2.8
"Williamson, TN",47187,583.67,583.62,583.74,582.73,582.68,582.6,0.94,0.94
"Wilson, TN",47189,583.27,583.2,570.49,570.64,570.57,570.83,12.63,12.63
TEXAS,48000,268600.96,268580.82,262016.56,261914.26,261797.12,261231.71,6686.7,6783.7
"Anderson, TX",48001,1078.05,1077.95,1076.88,1070.93,1070.79,1062.6,7.12,7.16
"Andrews, TX",48003,1501.09,1500.99,1500.96,1500.73,1500.64,1500.71,0.36,0.36
"Angelina, TX",48005,864.51,864.45,806.63,801.62,801.56,797.78,62.89,62.89
"Aransas, TX",48007,528.01,527.95,280.46,251.96,251.86,252.07,276.05,276.09
"Archer, TX",48009,925.85,925.78,907.36,909.76,909.7,903.11,16.09,16.09
"Armstrong, TX",48011,913.85,913.81,909.46,913.67,913.63,909.11,0.18,0.18
"Atascosa, TX",48013,1235.73,1235.61,1217.92,1232.22,1232.12,1219.54,3.51,3.49
"Austin, TX",48015,656.44,656.37,655.67,652.66,652.59,646.51,3.78,3.78
"Bailey, TX",48017,827.43,827.38,826.44,826.75,826.69,826.8,0.68,0.68
"Bandera, TX",48019,797.6,797.54,792.68,791.77,791.73,790.96,5.83,5.81
"Bastrop, TX",48021,895.99,895.92,894.87,888.45,888.35,888.15,7.54,7.57
"Baylor, TX",48023,901.08,901.01,862.16,870.84,870.77,867.48,30.24,30.24
"Bee, TX",48025,880.39,880.31,880.39,880.22,880.14,880.24,0.17,0.17
"Bell, TX",48027,1087.19,1087.93,1054.78,1058.99,1059.72,1051.02,28.2,28.21
"Bexar, TX",48029,1256.76,1256.66,1247.69,1246.93,1246.82,1239.82,9.83,9.84
"Blanco, TX",48031,713.46,713.41,713.52,711.3,711.24,709.25,2.16,2.16
"Borden, TX",48033,906.11,906.04,899.71,898.86,898.8,897.44,7.25,7.24
"Bosque, TX",48035,1002.72,1002.63,988.79,989.28,989.18,982.98,13.44,13.46
"Bowie, TX",48037,922.83,922.77,890.76,887.94,887.87,885.01,34.89,34.9
"Brazoria, TX",48039,1597.54,1597.44,1406.87,1386.88,1386.4,1357.7,210.66,211.04
"Brazos, TX",48041,590.35,590.29,588.56,585.83,585.78,585.45,4.52,4.51
"Brewster, TX",48043,6193.22,6192.78,6168.82,6193.04,6192.61,6183.73,0.18,0.18
"Briscoe, TX",48045,901.64,901.59,887.27,900.31,900.25,900,1.33,1.33
"Brooks, TX",48047,943.67,943.61,941.74,943.34,943.28,943.36,0.33,0.33
"Brown, TX",48049,957.03,956.94,936.01,943.99,943.85,944.43,13.04,13.08
"Burleson, TX",48051,677.83,677.78,668.5,665.61,665.54,659.03,12.22,12.24
"Burnet, TX",48053,1020.18,1020.96,994.05,995.3,996.04,994.26,24.88,24.93
"Caldwell, TX",48055,547.46,547.41,545.69,545.79,545.73,545.26,1.67,1.69
"Calhoun, TX",48057,1032.24,1032.16,540,512.36,512.31,506.84,519.88,519.84
"Callahan, TX",48059,901.34,901.26,899.12,898.7,898.62,899.37,2.64,2.64
"Cameron, TX",48061,1276.42,1276.33,905.57,905.57,905.76,890.92,370.85,370.58
"Camp, TX",48063,203.21,203.2,202.71,197.52,197.51,195.83,5.69,5.69
"Carson, TX",48065,924.15,924.1,923.55,923.24,923.19,920.22,0.91,0.91
"Cass, TX",48067,960.41,960.35,936.64,937.47,937.35,936.96,22.94,22.99
"Castro, TX",48069,899.39,899.32,899.32,898.43,898.31,894.43,0.96,1
"Chambers, TX",48071,868.59,871.99,616.1,599.36,599.31,597.14,269.23,272.68
"Cherokee, TX",48073,1062.02,1061.93,1052.05,1052.32,1052.22,1052.91,9.7,9.72
"Childress, TX",48075,713.66,713.61,707,710.39,710.34,696.41,3.27,3.27
"Clay, TX",48077,1116.23,1116.17,1085.5,1097.87,1097.82,1088.72,18.36,18.36
"Cochran, TX",48079,775.34,775.31,774.58,775.25,775.22,775.15,0.09,0.09
"Coke, TX",48081,928.07,927.97,908.14,898.9,898.81,911.47,29.17,29.17
"Coleman, TX",48083,1281.55,1281.45,1277.3,1272.94,1260.2,1261.95,8.61,21.25
"Collin, TX",48085,885.91,885.85,851.39,847.71,847.56,841.23,38.2,38.29
"Collingsworth, TX",48087,919.48,919.44,908.83,918.84,918.8,918.44,0.64,0.64
"Colorado, TX",48089,973.68,973.59,964.59,963.04,962.95,960.27,10.64,10.64
"Comal, TX",48091,574.65,574.59,555.01,561.5,561.45,559.48,13.15,13.15
"Comanche, TX",48093,947.74,947.67,930.16,937.76,937.69,937.75,9.98,9.98
"Concho, TX",48095,993.75,993.69,992.45,991.52,991.45,983.8,2.23,2.23
"Cooke, TX",48097,898.87,898.81,892.56,873.79,873.64,874.76,25.08,25.17
"Coryell, TX",48099,1056.81,1056.73,1056.64,1051.85,1051.76,1052.07,4.96,4.97
"Cottle, TX",48101,901.66,901.59,895.46,901.24,901.18,900.56,0.42,0.42
"Crane, TX",48103,785.65,785.59,782.13,785.62,785.56,785.07,0.03,0.03
"Crockett, TX",48105,2807.66,2807.43,2806.03,2807.65,2807.42,2807.33,0.01,0.01
"Crosby, TX",48107,901.74,901.69,898.52,899.57,899.51,900.2,2.17,2.17
"Culberson, TX",48109,3812.94,3812.71,3814.61,3812.69,3812.46,3812.8,0.25,0.25
"Dallam, TX",48111,1505.37,1505.26,1505.45,1504.81,1504.69,1503.26,0.56,0.56
"Dallas, TX",48113,908.87,908.56,879.95,879.88,879.6,871.28,28.99,28.96
"Dawson, TX",48115,902.16,902.12,902.69,902.1,902.06,900.31,0.06,0.06
"Deaf Smith, TX",48117,1498.36,1498.26,1497.27,1497.44,1497.34,1496.87,0.92,0.92
"Delta, TX",48119,277.94,277.92,278.05,277.17,277.08,256.83,0.77,0.84
"Denton, TX",48121,957.72,957.88,910.76,888.49,888.54,878.43,69.23,69.34
"DeWitt, TX",48123,910.55,910.47,910.44,909.28,909.18,908.98,1.27,1.29
"Dickens, TX",48125,905.26,905.21,906.54,904.26,904.21,901.72,1,1
"Dimmit, TX",48127,1334.58,1334.48,1307.19,1331.01,1330.91,1328.88,3.57,3.57
"Donley, TX",48129,933.09,933.05,929.08,929.81,929.77,926.89,3.28,3.28
"Duval, TX",48131,1795.82,1795.67,1795.07,1792.85,1792.71,1793.48,2.97,2.97
"Eastland, TX",48133,931.98,931.9,924.13,926.09,926.01,926.49,5.89,5.89
"Ector, TX",48135,901.76,901.68,903.34,901.13,901.06,897.69,0.63,0.62
"Edwards, TX",48137,2120.13,2119.95,2120.5,2119.94,2119.75,2117.86,0.19,0.19
"Ellis, TX",48139,951.73,951.66,938.87,939.98,939.91,935.49,11.75,11.75
"El Paso, TX",48141,1014.75,1014.68,1014.03,1013.09,1013.11,1012.69,1.66,1.57
"Erath, TX",48143,1089.88,1089.8,1079.52,1086.41,1086.33,1083.07,3.47,3.47
"Falls, TX",48145,773.86,773.81,770.44,769.14,769.09,765.48,4.72,4.72
"Fannin, TX",48147,899.23,899.16,894.83,891.56,891.45,890.84,7.67,7.71
"Fayette, TX",48149,959.92,959.84,949.78,950.13,950.03,950.01,9.79,9.81
"Fisher, TX",48151,901.82,901.74,896.5,901.24,901.16,898.94,0.58,0.58
"Floyd, TX",48153,992.57,992.51,992.29,992.3,992.19,992.14,0.27,0.32
"Foard, TX",48155,707.74,707.69,703,706.73,706.68,704.4,1.01,1.01
"Fort Bend, TX",48157,886.11,886.05,875.68,875.04,874.64,861.48,11.07,11.41
"Franklin, TX",48159,294.79,294.77,294.16,285.67,285.66,284.39,9.12,9.12
"Freestone, TX",48161,892.2,892.13,887.95,885.25,877.43,877.74,6.95,14.7
"Frio, TX",48163,1134.39,1134.28,1132.82,1133.13,1133.02,1133.5,1.26,1.26
"Gaines, TX",48165,1502.91,1502.84,1503.67,1502.42,1502.35,1502.38,0.49,0.49
"Galveston, TX",48167,876.46,872.93,399,398.68,398.47,378.36,477.78,474.46
"Garza, TX",48169,896.25,896.19,894.75,895.62,895.56,893.41,0.63,0.63
"Gillespie, TX",48171,1061.58,1061.48,1061.44,1061.16,1061.06,1058.21,0.42,0.42
"Glasscock, TX",48173,901,900.93,900.37,900.82,900.75,900.22,0.18,0.19
"Goliad, TX",48175,859.43,859.35,858.65,853.58,853.52,852.01,5.85,5.83
"Gonzales, TX",48177,1069.91,1069.82,1067.72,1067.85,1067.75,1066.69,2.06,2.07
"Gray, TX",48179,929.3,929.25,920.84,928.33,928.28,925.97,0.97,0.97
"Grayson, TX",48181,979.25,979.19,934.09,933.68,933.51,932.8,45.57,45.68
"Gregg, TX",48183,276.41,276.37,272.84,274.07,274.03,273.3,2.34,2.34
"Grimes, TX",48185,801.27,801.16,799.4,793.82,793.6,787.46,7.45,7.56
"Guadalupe, TX",48187,714.23,714.17,713.26,711.2,711.14,711.3,3.03,3.03
"Hale, TX",48189,1004.86,1004.77,1005.4,1004.75,1004.65,1004.68,0.11,0.12
"Hall, TX",48191,904.13,904.08,876.58,903.14,903.09,883.49,0.99,0.99
"Hamilton, TX",48193,836.45,836.38,836.01,835.78,835.71,835.91,0.67,0.67
"Hansford, TX",48195,920.48,920.4,920.75,919.88,919.8,919.81,0.6,0.6
"Hardeman, TX",48197,697.05,697,687.92,695.43,695.38,695.11,1.62,1.62
"Hardin, TX",48199,897.43,897.37,898.13,894.38,894.33,890.57,3.05,3.04
"Harris, TX",48201,1777.89,1777.69,1734.3,1728.99,1728.83,1703.48,48.9,48.87
"Harrison, TX",48203,915.17,915.09,908.49,898.84,898.71,899.95,16.33,16.38
"Hartley, TX",48205,1463.3,1463.2,1461.81,1462.35,1462.25,1462.03,0.95,0.95
"Haskell, TX",48207,910.33,910.25,900.82,903.04,902.97,903.13,7.29,7.29
"Hays, TX",48209,679.85,679.79,678.21,677.93,677.87,677.98,1.92,1.92
"Hemphill, TX",48211,912.11,912.06,902.78,909.73,909.68,906.29,2.38,2.38
"Henderson, TX",48213,949.09,949,888.42,874.37,874.24,873.75,74.72,74.76
"Hidalgo, TX",48215,1582.78,1582.66,1569.21,1569.07,1569.75,1570.87,13.71,12.92
"Hill, TX",48217,985.71,985.65,968.36,962.43,962.36,958.86,23.28,23.29
"Hockley, TX",48219,908.57,908.55,907.78,908.3,908.28,908.39,0.27,0.27
"Hood, TX",48221,436.82,436.8,424.96,421.63,421.61,420.64,15.19,15.19
"Hopkins, TX",48223,792.8,792.74,789.21,784.76,782.4,767.17,8.04,10.35
"Houston, TX",48225,1236.93,1236.83,1234.34,1230.99,1230.89,1230.91,5.94,5.94
"Howard, TX",48227,904.27,904.19,901.01,902.91,902.84,900.79,1.36,1.36
"Hudspeth, TX",48229,4572.26,4571.93,4566.51,4571.33,4571,4570.98,0.93,0.93
"Hunt, TX",48231,882.09,882.02,840.14,841.23,841.16,840.32,40.86,40.87
"Hutchinson, TX",48233,895.01,894.95,871.5,887.43,887.37,887.42,7.58,7.58
"Irion, TX",48235,1051.68,1051.59,1051.86,1051.57,1051.48,1051.56,0.11,0.11
"Jack, TX",48237,920.18,920.11,919.72,917.43,916.61,910.66,2.75,3.5
"Jackson, TX",48239,857.1,857.03,843.59,829.52,829.49,829.44,27.58,27.54
"Jasper, TX",48241,969.68,969.62,921.16,937.47,937.4,938.85,32.21,32.22
"Jeff Davis, TX",48243,2264.77,2264.6,2257.36,2264.59,2264.43,2264.56,0.18,0.18
"Jefferson, TX",48245,1111.32,1111.26,937.37,903.6,903.55,876.3,207.72,207.71
"Jim Hogg, TX",48247,1136.24,1136.16,1136.18,1136.19,1136.11,1136.14,0.05,0.05
"Jim Wells, TX",48249,868.3,868.22,866.78,864.65,864.52,864.97,3.65,3.71
"Johnson, TX",48251,734.43,734.46,730.3,729.37,729.42,724.69,5.06,5.03
"Jones, TX",48253,937.21,937.13,930.64,931.08,930.99,928.55,6.13,6.14
"Karnes, TX",48255,753.58,753.58,753.2,750.31,750.32,747.56,3.27,3.27
"Kaufman, TX",48257,806.87,806.81,788.35,786.12,786.04,780.7,20.75,20.76
"Kendall, TX",48259,663.1,663.04,662.76,662.5,662.44,662.45,0.6,0.6
"Kenedy, TX",48261,1945.6,1945.6,1389.15,1456.87,1456.77,1458.33,488.73,488.83
"Kent, TX",48263,902.97,902.91,878.27,902.39,902.33,902.51,0.58,0.58
"Kerr, TX",48265,1107.76,1107.66,1107.04,1106.27,1106.12,1103.32,1.49,1.54
"Kimble, TX",48267,1251.02,1250.92,1249.76,1250.79,1250.7,1250.99,0.23,0.23
"King, TX",48269,913.38,913.33,913.88,912.34,912.29,910.87,1.04,1.04
"Kinney, TX",48271,1365.4,1365.31,1358.84,1363.53,1363.44,1360.06,1.87,1.87
"Kleberg, TX",48273,1090.5,1090.29,852.7,871.06,870.97,881.31,219.44,219.32
"Knox, TX",48275,855.5,855.43,845.21,854.15,849,850.62,1.35,6.43
"Lamar, TX",48277,932.53,932.47,919.23,917.06,916.81,907.19,15.47,15.66
"Lamb, TX",48279,1017.8,1017.73,1012.58,1016.28,1016.21,1016.18,1.52,1.52
"Lampasas, TX",48281,714.02,713.96,714.1,712.1,712.04,712.84,1.92,1.92
"La Salle, TX",48283,1494.36,1494.23,1517.13,1488.98,1488.85,1486.69,5.38,5.38
"Lavaca, TX",48285,970.44,970.35,971.15,969.99,969.9,969.71,0.45,0.45
"Lee, TX",48287,634.09,634.03,630.9,628.58,628.5,629.02,5.51,5.53
"Leon, TX",48289,1080.47,1080.38,1078.55,1072.13,1072.04,1073.15,8.34,8.34
"Liberty, TX",48291,1176.33,1176.22,1173.82,1159.83,1159.68,1158.42,16.5,16.54
"Limestone, TX",48293,933.22,933.15,930.49,908.88,908.88,905.29,24.34,24.27
"Lipscomb, TX",48295,932.28,932.22,933.01,932.17,932.11,932.18,0.11,0.11
"Live Oak, TX",48297,1078.94,1078.83,1056.63,1036.4,1036.3,1039.7,42.54,42.53
"Llano, TX",48299,966.25,966.18,938.87,934.86,934.76,934.03,31.39,31.41
"Loving, TX",48301,676.88,676.85,670.47,673.11,673.08,668.93,3.77,3.77
"Lubbock, TX",48303,900.74,900.7,900.09,899.6,899.49,895.6,1.14,1.2
"Lynn, TX",48305,893.5,893.46,887.9,891.92,891.88,891.87,1.58,1.58
"McCulloch, TX",48307,1073.43,1073.35,1071.35,1069.38,1069.31,1065.6,4.05,4.05
"McLennan, TX",48309,1060.27,1060.23,1030.59,1041.93,1041.88,1037.1,18.34,18.34
"McMullen, TX",48311,1142.71,1142.6,1162.82,1113.1,1113,1139.43,29.61,29.6
"Madison, TX",48313,472.48,472.44,472.4,469.68,469.65,466.07,2.8,2.8
"Marion, TX",48315,420.39,420.36,385.02,381.24,381.21,380.88,39.15,39.15
"Martin, TX",48317,915.69,915.62,913.8,914.85,914.78,914.94,0.84,0.84
"Mason, TX",48319,932.26,932.18,933.53,932.15,932.07,928.8,0.11,0.11
"Matagorda, TX",48321,1612.33,1612.19,1127.17,1114.55,1114.46,1100.28,497.78,497.73
"Maverick, TX",48323,1291.84,1291.74,1286.86,1280.17,1280.08,1279.26,11.67,11.66
"Medina, TX",48325,1334.63,1334.53,1331.4,1327.87,1327.76,1325.36,6.76,6.77
"Menard, TX",48327,902.32,902.25,902.18,901.98,901.91,902.03,0.34,0.34
"Midland, TX",48329,902.03,901.97,901.59,900.31,900.25,900.3,1.72,1.72
"Milam, TX",48331,1021.74,1021.67,1019.06,1016.79,1016.71,1016.93,4.95,4.95
"Mills, TX",48333,749.95,749.89,748.1,748.17,748.11,748.26,1.78,1.78
"Mitchell, TX",48335,915.98,915.9,912.23,910.12,910.04,911.09,5.86,5.86
"Montague, TX",48337,938.51,938.44,927.73,930.73,930.66,930.91,7.78,7.78
"Montgomery, TX",48339,1076.91,1076.81,1047.29,1044.33,1044.03,1041.74,32.58,32.78
"Moore, TX",48341,909.68,909.61,904.75,899.73,899.66,899.69,9.95,9.95
"Morris, TX",48343,258.65,258.64,255.83,254.52,254.51,251.99,4.13,4.13
"Motley, TX",48345,989.87,989.81,958.86,989.44,989.38,989.56,0.43,0.43
"Nacogdoches, TX",48347,981.41,981.33,939.25,946.85,946.77,946.54,34.56,34.56
"Navarro, TX",48349,1086.27,1086.17,1068.22,1071.2,1007.66,1009.63,15.07,78.51
"Newton, TX",48351,939.57,939.51,935.29,932.75,932.69,933.68,6.82,6.82
"Nolan, TX",48353,914.01,913.93,914.68,912.06,911.98,912,1.95,1.94
"Nueces, TX",48355,1166.58,1166.42,847.48,835.89,835.82,838.48,330.69,330.6
"Ochiltree, TX",48357,918.14,918.07,918.89,917.63,917.56,917.63,0.51,0.51
"Oldham, TX",48359,1501.53,1501.42,1484.96,1500.74,1500.63,1500.53,0.79,0.79
"Orange, TX",48361,379.56,379.54,362.11,356.42,356.4,333.67,23.14,23.14
"Palo Pinto, TX",48363,985.56,985.5,949.15,952.99,952.93,951.79,32.57,32.57
"Panola, TX",48365,821.39,821.34,811.6,800.97,800.92,801.75,20.42,20.42
"Parker, TX",48367,910.15,910.09,902.34,903.58,903.51,903.48,6.57,6.58
"Parmer, TX",48369,885.23,885.17,884.53,881.72,881.66,880.78,3.51,3.51
"Pecos, TX",48371,4765.11,4764.73,4776.57,4764.04,4763.66,4763.85,1.07,1.07
"Polk, TX",48373,1109.91,1109.81,1061.44,1057.36,1057.26,1057.09,52.55,52.55
"Potter, TX",48375,922.06,921.98,901.83,909.45,909.24,908.37,12.61,12.74
"Presidio, TX",48377,3856.54,3856.26,3857.14,3855.79,3855.51,3855.24,0.75,0.75
"Rains, TX",48379,258.89,258.87,242.99,232.07,232.05,229.45,26.82,26.82
"Randall, TX",48381,922.49,922.42,917.17,914.47,914.43,911.54,8.02,7.99
"Reagan, TX",48383,1176.09,1175.98,1173.31,1175.41,1175.3,1175.3,0.68,0.68
"Real, TX",48385,700.09,700.04,697.17,699.96,699.91,699.2,0.13,0.13
"Red River, TX",48387,1057.67,1057.61,1053.64,1050.24,1050.18,1036.58,7.43,7.43
"Reeves, TX",48389,2642.13,2641.95,2626.2,2636.05,2635.88,2635.38,6.08,6.07
"Refugio, TX",48391,818.72,818.64,770.86,770.33,770.21,770.44,48.39,48.43
"Roberts, TX",48393,924.25,924.19,914.62,924.15,924.09,924.06,0.1,0.1
"Robertson, TX",48395,865.73,865.67,863.67,854.63,854.56,855.68,11.1,11.11
"Rockwall, TX",48397,148.71,148.7,128.2,128.8,128.79,127.04,19.91,19.91
"Runnels, TX",48399,1057.22,1057.13,1055.77,1054.51,1050.73,1050.95,2.71,6.4
"Rusk, TX",48401,938.7,938.62,932.33,923.64,923.55,924.03,15.06,15.07
"Sabine, TX",48403,576.65,576.61,485.68,490.3,490.27,491.39,86.35,86.34
"San Augustine, TX",48405,592.25,592.21,523.89,527.91,527.87,530.66,64.34,64.34
"San Jacinto, TX",48407,627.96,627.9,572.19,570.71,570.65,569.24,57.25,57.25
"San Patricio, TX",48409,707.11,707.06,693.08,691.76,691.65,693.45,15.35,15.41
"San Saba, TX",48411,1138.33,1138.25,1136.37,1134.55,1134.47,1135.3,3.78,3.78
"Schleicher, TX",48413,1310.74,1310.65,1309.38,1310.7,1310.61,1310.63,0.04,0.04
"Scurry, TX",48415,907.61,907.53,900.25,902.57,902.5,905.44,5.04,5.03
"Shackelford, TX",48417,915.61,915.54,914.82,914.02,913.95,914.29,1.59,1.59
"Shelby, TX",48419,834.6,834.53,790.63,794.2,794.11,795.58,40.4,40.43
"Sherman, TX",48421,923.27,923.2,922.9,923.11,923.03,923.04,0.16,0.16
"Smith, TX",48423,949.55,949.45,932.23,928.5,928.38,921.45,21.05,21.06
"Somervell, TX",48425,191.91,191.9,188.39,187.18,187.17,186.46,4.73,4.73
"Starr, TX",48427,1229.38,1229.28,1226,1223.12,1223.02,1223.18,6.26,6.26
"Stephens, TX",48429,921.55,921.48,893.89,894.72,894.64,896.72,26.83,26.84
"Sterling, TX",48431,923.58,923.49,922.87,923.45,923.36,923.45,0.13,0.13
"Stonewall, TX",48433,920.31,920.23,925.19,918.75,918.67,916.31,1.56,1.56
"Sutton, TX",48435,1454.52,1454.4,1454.71,1453.89,1453.76,1453.93,0.63,0.63
"Swisher, TX",48437,900.74,900.68,902.06,900.49,900.43,890.16,0.25,0.25
"Tarrant, TX",48439,897.56,897.48,868.12,863.52,863.42,863.61,34.04,34.06
"Taylor, TX",48441,919.34,919.25,917.11,915.7,915.63,915.55,3.64,3.63
"Terrell, TX",48443,2357.94,2357.75,2357.08,2357.91,2357.72,2358.03,0.03,0.03
"Terry, TX",48445,890.96,890.93,886.52,889.9,889.88,888.84,1.06,1.06
"Throckmorton, TX",48447,915.54,915.47,912.16,912.41,912.34,912.55,3.13,3.13
"Titus, TX",48449,425.72,425.69,412.35,410.58,410.54,406.05,15.14,15.15
"Tom Green, TX",48451,1540.63,1540.54,1514.83,1522.19,1522.1,1521.97,18.44,18.44
"Travis, TX",48453,1022.19,1022.08,989.05,989.41,989.3,990.2,32.78,32.77
"Trinity, TX",48455,714.05,714,691.55,692.89,692.84,693.61,21.16,21.16
"Tyler, TX",48457,935.77,935.71,922.47,922.97,922.9,924.5,12.8,12.81
